"Year","Species.n","Yield","DeadM1","DeadM2","Fbar","SSB","TSB","Recruits"
1974,16,252714,69247.0753470475,136294.645864217,0.720951,182550,409477,6978740
1975,16,241132,70987.44912027,145141.07383776,0.754839,169517,406594,4530150
1976,16,305329,71216.829551153,207933.97853662,0.824809,152545,435130,14980300
1977,16,347182,75875.952064493,223786.802175203,0.809199,123997,420185,9104810
1978,16,327061,74760.0082686055,219480.219232096,0.939042,119158,483104,12173400
1979,16,428086,77771.0545377665,188434.646651919,0.759279,113966,451516,8293990
1980,16,587443,81445.7452275975,214346.627935055,0.882367,127478,473785,9139360
1981,16,390754,80002.0644458075,292555.213073252,0.875337,132257,509047,24729400
1982,16,356376,68267.27109332,204505.803538276,0.945759,124119,418360,9084030
1983,16,279032,59224.032805148,177335.861796128,0.951622,107534,385516,9367150
1984,16,378275,59898.887542282,180277.803712684,0.882868,94101.3,349207,7590180
1985,16,245642,54674.9087623655,151524.291100576,0.891861,96999.8,361574,8064750
1986,16,339692,52257.6482291155,148876.861588295,0.963442,83992.4,295779,5613490
1987,16,243840,51257.176434046,133948.707569965,0.961066,86128.2,342417,4885550
1988,16,193767,42363.0664729805,103670.267753653,0.939335,83796.1,275364,4195570
1989,16,201155,38839.5811348845,106478.726549776,0.981233,77632.9,234636,3269510
1990,16,151592,35538.7590565295,104121.560711196,0.910349,75094.8,236768,4040990
1991,16,119678,30889.0769073005,95342.0778362716,0.91162,71299.3,188903,5132850
1992,16,148985,33613.055497952,100360.774459915,0.875951,68382.4,196839,3377240
1993,16,132900,34363.9958932335,109573.612950693,0.818554,70103.6,211235,5207860
1994,16,216500,37678.6850992905,111908.609079215,0.835134,76436,212803,4502730
1995,16,198306,39583.128517617,114432.345021648,0.924948,85618.3,248193,4291380
1996,16,142941,34660.0986696637,110392.156337731,0.986684,86911.2,224791,6035270
1997,16,135372,37117.0624503925,114553.447407314,0.893453,74280,201710,3385910
1998,16,136757,31444.9260223442,103003.212874017,0.958943,76464.7,227050,4193760
1999,16,95882.7,20458.7549476568,83048.6229049057,1.08268,63243.4,135396,7380050
2000,16,77117.6,21135.507946885,71069.3669445351,1.03713,47395.4,121699,2488520
2001,16,78723.3,20689.7292990517,68417.1663987329,0.981435,53121.7,141793,2965830
2002,16,56581.5,16614.2884985586,61766.3912200583,0.893882,45631.2,100878,3919550
2003,16,51655.7,14443.7892369167,67574.9505432733,0.903345,43878.7,92129.3,5300860
2004,16,40848,13743.5849934852,65914.6055332434,0.825476,36868.1,78082.1,4368400
2005,16,36580,14430.3046625929,89161.137163639,0.751308,37735.5,83726,7244690
2006,16,37577,15984.2506450781,78131.6065008891,0.799141,40424.7,89791.3,4144370
2007,16,54641.2,17260.8844647248,78750.9451608705,0.61812,49736.8,103738,4338770
2008,16,51795,16429.5193068883,73371.8983829888,0.692558,56980.7,98134,5280880
2009,16,54026.1,15740.3957613372,57109.6517331139,0.722692,56184.8,94602.5,3388820
2010,16,49105.7,16851.0451290707,60682.4076103381,0.703658,53134.7,94427.9,3068840
2011,16,40686.8,17627.1804245071,83986.6167601897,0.582148,58645.6,103933,7007070
2012,16,40764,17167.9589981557,79533.9956471494,0.566068,58414.8,95214.5,7682260
2013,16,40757.4,18646.9018783147,84900.1095605398,0.534439,57896.8,99302.9,7223360
2014,16,45192.4,20691.866955412,75551.1163827141,0.488836,61819.1,113677,4310530
2015,16,49899.9,21002.5875933844,65250.837821878,0.486233,69911.8,122281,3871630
2016,16,50310.5,19305.4835265536,56632.9861503814,0.462776,71368.9,110852,4563460
2017,16,46368.7,18989.2298469903,42639.9130947725,0.500756,66112.8,101659,1731490
2018,16,47904.1,15858.2932344998,50224.2461000408,0.666424,64414.8,105497,2965870
2019,16,35920.4,15483.2454244461,46815.9086921894,0.549791,46886.4,77999.5,3655180
1974,17,323103,97911.7009924957,595184.218045618,0.876049,395817,544677,42841800
1975,17,276575,107827.039288542,600259.425587761,0.889602,306527,571108,38338300
1976,17,326266,112326.905638518,701062.683918962,0.959523,402187,662818,40360500
1977,17,289854,103957.217600432,547542.313185164,0.700922,383817,582908,33585700
1978,17,188195,103220.913861259,616026.847765038,0.627292,378490,604648,34100700
1979,17,243608,108613.340682387,459211.488159219,0.69644,382384,605583,25866000
1980,17,223322,104614.882119553,444097.429252553,0.739185,395640,611587,20233900
1981,17,192184,87158.5898020555,567633.442395729,0.635308,405994,546728,33311500
1982,17,140266,62798.4087535246,298770.35994489,0.514571,300439,393382,14930500
1983,17,161319,55868.9191703388,254127.976320435,0.707661,245170,337285,16096000
1984,17,145614,51007.4519960523,272778.794585897,0.842029,189381,295279,17569200
1985,17,100364,52046.4260415692,235709.203905814,0.623869,191029,275396,17125900
1986,17,161508,66715.7558175805,315799.708613699,0.817267,198048,339943,23375400
1987,17,138802,61190.8649863286,317068.211322489,0.941283,213699,346103,20680600
1988,17,133209,59532.966664336,300468.229944366,0.736213,216728,310424,24178800
1989,17,123582,62795.4015980707,314351.830906713,0.734368,213031,361498,16755100
1990,17,152614,54297.1005280954,246083.932547668,0.775003,231135,327209,14518900
1991,17,126730,52088.8463162117,207517.901515697,0.612143,211183,296886,13034000
1992,17,108541,51157.6340438282,255793.558046884,0.590161,199390,274765,20001900
1993,17,116921,46109.9405435682,230588.091903167,0.717778,185654,267991,15882300
1994,17,101644,44398.7847237196,215411.888711736,0.670981,170694,251227,14749200
1995,17,105486,45509.1235667473,225071.221528111,0.580639,171464,254504,14275200
1996,17,76123.2,36013.2845747521,148018.511894958,0.534174,157910,222688,7166180
1997,17,61432.2,34009.4595603356,191806.411465407,0.475958,133580,175309,16144900
1998,17,47478.1,38254.6048497789,309024.229138099,0.388916,115753,171075,27381700
1999,17,60836.2,36226.5825722747,300707.758518354,0.526296,116158,200185,21890100
2000,17,63812.5,44044.4006406805,258268.658775831,0.578067,124851,211202,21151900
2001,17,45244.9,49361.3056320275,318549.0508255,0.342658,151259,238536,25263400
2002,17,46448.2,41644.451398208,283697.211212707,0.309201,156702,228793,19685400
2003,17,45642.7,32973.4073451995,214187.519003002,0.340343,145102,184181,16601700
2004,17,33557.6,28833.455794466,209711.45187554,0.265787,119398,153530,16714700
2005,17,28878.8,27456.671253564,193877.443493469,0.251892,103134,143861,15112800
2006,17,36764.3,25797.95224915,191956.702037701,0.310408,95387.7,131891,15863600
2007,17,26973.6,25037.417113289,218323.037278464,0.278255,90943.5,121112,19015300
2008,17,28242.3,26652.2887165365,217464.130127771,0.275937,95207.5,133089,17727400
2009,17,28417,24295.9408364035,128106.148431337,0.254885,97995.6,130898,8585090
2010,17,34442.1,32380.083192809,200161.611935856,0.279818,121276,154919,16379900
2011,17,30665.4,33051.655464014,223482.979189322,0.258407,124143,163934,17888600
2012,17,30210.7,29495.765437943,154937.069881044,0.210166,134396,161873,11030100
2013,17,26661.3,28616.285206777,166854.789345021,0.205577,124888,143439,13939800
2014,17,28362.2,31508.6481556595,197254.287487633,0.239385,120102,157225,15777400
2015,17,36249.6,33840.7521660405,254451.378952717,0.289884,122323,157352,22961800
2016,17,33392.6,36139.077858418,265062.852074853,0.282306,131317,169464,22921900
2017,17,29344.4,35770.1502078915,214677.998437121,0.22402,143865,187587,14723900
2018,17,28436.8,33313.700253676,158160.19940073,0.214265,147399,178799,10720000
2019,17,31281.4,34844.6147894575,170277.281468374,0.24572,135013,165790,14668800
1974,18,396271,157762.269682162,978507.014988459,0.737769,312828,864194,46410500
1975,18,494728,186725.070313246,868675.631083384,0.869773,141186,1281940,4286070
1976,18,402850,128949.623106402,422117.716559784,0.824426,165274,932023,6594740
1977,18,240340,69032.9647505687,298923.383777265,0.74908,325907,468865,12758400
1978,18,146706,61582.6177013291,369427.482657768,0.794899,127252,355690,17776400
1979,18,149064,94464.32244779,643704.976728344,0.841127,80658.1,469430,33525900
1980,18,202451,135215.625451217,634769.66715436,0.808176,93151.3,807021,15254300
1981,18,226485,131498.062063854,631327.952223254,0.562508,164950,799577,22900900
1982,18,256108,113174.695794725,478847.256699632,0.523694,385348,747904,11772900
1983,18,253230,97196.7956307505,406780.65255651,0.719412,261410,563954,20527200
1984,18,247089,100066.272057767,340801.465092683,0.858189,225859,638729,6557670
1985,18,247098,85557.3193536116,221541.439150763,0.78565,150938,543972,7009670
1986,18,223727,73337.8742036936,258560.633522024,0.81664,249136,416337,14796700
1987,18,194995,71796.7198094663,164585.21835418,0.935999,156713,464406,1683510
1988,18,179974,51588.2587787333,76420.0206706066,0.995266,118731,365364,1434470
1989,18,127719,27225.1680372795,55364.4555303948,0.935025,149142,193462,2399490
1990,18,86747.9,22580.553803017,92762.7675319981,0.891411,67343.8,124190,5597970
1991,18,97264.3,31114.8102553279,124276.267797703,0.958316,39694.5,155131,6570870
1992,18,135185,47952.5976015366,187147.551353395,0.829242,39384.8,244028,9560290
1993,18,180218,59514.3233762013,153474.730455135,0.975028,85209.9,368014,3270580
1994,18,169436,66046.9178866655,225052.066482796,0.916468,103148,345413,15208600
1995,18,168928,79294.3511741796,299246.735239342,0.807986,133567,486431,6539430
1996,18,204683,71926.8595153329,162066.239176281,0.889955,94338.2,461788,4759960
1997,18,170009,55980.9820771127,114589.152640563,0.686931,189393,341415,3443700
1998,18,161929,43292.284017408,75322.4058367947,0.755695,132787,278156,1969630
1999,18,123489,47643.4135125394,202128.092044755,1.00171,111006,188105,20854700
2000,18,126823,104341.953242331,309624.910336024,0.962825,63900.9,530580,5682210
2001,18,173366,129123.613706223,141709.672996709,0.74565,38297.4,729697,930207
2002,18,155333,81457.2918525842,85703.3815603608,0.616513,400242,531113,1413590
2003,18,74350.2,51005.2895578176,54459.4016821316,0.337345,272707,304529,1796110
2004,18,72513.1,33117.3185815785,62148.3062660952,0.365061,167993,210614,1515770
2005,18,64115.2,33788.2682316171,172013.873515765,0.407692,104863,140118,12724100
2006,18,66967.2,43218.1234748561,198584.410888244,0.674356,65991.7,272618,2770790
2007,18,67425.3,42514.4068788832,85710.2388414002,0.652985,37169.1,248624,1632080
2008,18,47787,34542.3876726115,50554.7654936198,0.394053,142129,202907,1024450
2009,18,47952.5,29154.273880738,77578.4318317688,0.334931,101959,142537,5164880
2010,18,45377.6,38986.4633951057,99622.5533355387,0.363461,83081.4,216014,700604
2011,18,49689.9,36609.3178306846,46086.4412778306,0.509663,60538,214222,318828
2012,18,43194.2,30444.0033151839,25271.9224917835,0.315639,158178,175300,806966
2013,18,47127.4,23756.770768793,21730.6243405294,0.273895,119480,137721,487603
2014,18,46284,19986.8759645581,55177.4273133475,0.485505,78455.5,103849,4075370
2015,18,41558.9,24231.5556499689,71245.9156502808,0.787185,55302.9,143196,1313340
2016,18,43152.2,27320.8533252307,64041.9113844451,0.507454,30614.5,148756,2070650
2017,18,40793.9,28938.9706946377,56569.8293205993,0.37567,102293,164851,1141300
2018,18,39492.2,27650.0794762753,52425.4119763629,0.280114,87011.1,150580,1703740
2019,18,36601.4,38529.4584741973,106719.345023738,0.236765,100302,153139,8875810
1974,19,341457,158338.398130245,0,0.458002,573596,875148,281532
1975,19,308362,154211.044664845,0,0.521892,495770,836887,150858
1976,19,432832,131056.7166238,0,0.574941,374747,750073,180779
1977,19,242626,97901.904945895,0,0.736505,297631,616398,160298
1978,19,179361,84521.46614877,0,0.433067,251328,461191,355182
1979,19,144250,90885.2089097,0,0.449539,244006,487822,273220
1980,19,146784,90078.305444725,0,0.523838,226675,474834,277904
1981,19,150025,104628.68212479,0,0.491564,216674,555629,251903
1982,19,205438,105534.250654655,0,0.502716,196908,569007,304933
1983,19,205616,94747.797258785,0,0.713153,200405,549760,626345
1984,19,245308,87225.704464086,0,0.603397,165866,452603,293857
1985,19,280080,92743.493194897,0,0.596011,144637,449926,268535
1986,19,236972,89946.098013446,0,0.795863,130021,517255,174444
1987,19,195418,72033.635399367,0,0.666529,131981,403172,167756
1988,19,156418,62357.832266901,0,0.722534,132105,363225,231185
1989,19,126442,55141.4815185465,0,0.657161,112252,305517,186884
1990,19,126902,55037.201148202,0,0.582735,107302,287686,224965
1991,19,133739,56227.2892325575,0,0.570897,100980,296386,169956
1992,19,117430,63652.5299616715,0,0.538905,98910.5,312356,489321
1993,19,135112,69844.3690647835,0,0.70467,110958,356217,207479
1994,19,128816,79367.9797340445,0,0.522058,109729,367156,286034
1995,19,143477,109956.194798781,0,0.643388,133958,559304,136756
1996,19,130551,93738.849170154,0,0.557204,146953,490391,264142
1997,19,121523,92420.6317731695,0,0.406978,178917,469615,145764
1998,19,118480,80015.9665517625,0,0.428943,179222,407369,320598
1999,19,120395,80815.25691852,0,0.56363,181804,422772,353647
2000,19,94675.6,88526.20819981,0,0.412336,171395,427753,243400
2001,19,104100,101095.47057005,0,0.322381,179355,474384,188629
2002,19,129849,111227.39273629,0,0.426221,211463,563001,309160
2003,19,121658,92387.755665515,0,0.451966,201443,476931,126066
2004,19,113792,106003.378607125,0,0.323517,251591,528962,175592
2005,19,119234,95654.619965645,0,0.380802,236010,498399,112964
2006,19,128711,91434.12158304,0,0.366888,258348,483793,121621
2007,19,106333,82055.388575465,0,0.313184,240467,426561,186722
2008,19,129887,73516.08892352,0,0.46643,228777,401195,101313
2009,19,114519,69636.54419816,0,0.466099,218703,374947,170917
2010,19,104723,71324.20349816,0,0.470153,206629,386009,182202
2011,19,102008,62146.026854305,0,0.435803,163022,323258,114520
2012,19,87049.1,62327.552945905,0,0.402222,146471,314584,146256
2013,19,87269.8,64390.804900215,0,0.363202,149221,327962,225857
2014,19,82171.6,67247.91529616,0,0.381356,171574,345620,161144
2015,19,81446.6,70665.44435389,0,0.379743,178840,355544,92743.4
2016,19,77671.3,74271.83444795,0,0.348613,170835,375860,130827
2017,19,94572.8,73970.035195885,0,0.406336,196571,396637,210969
2018,19,95446.2,68051.52772043,0,0.371955,196742,355681,204577
2019,19,96634.5,73988.87646302,0,0.370335,207129,375693,204427
1974,20,604750,922130.882958938,0,0.123877,4960250,5599670,4539640
1975,20,780518,901652.779333913,0,0.165649,4767990,5527790,4633300
1976,20,826864,877271.821223662,0,0.188141,4536020,5388480,3056910
1977,20,619776,835966.128344625,0,0.147283,4364960,5145360,779005
1978,20,735619,741510.454166625,0,0.186442,4272620,4789750,2419530
1979,20,840578,645546.417028875,0,0.229804,3770900,4159690,4645450
1980,20,733063,540547.179047587,0,0.244064,2699800,3257250,5285780
1981,20,750656,562380.673839982,0,0.252027,2449280,3263130,6394360
1982,20,716385,598706.031626738,0,0.248243,2447770,3414660,1759610
1983,20,671927,561060.545548763,0,0.213445,2622690,3407790,1268730
1984,20,633027,493788.641799502,0,0.219993,2642290,3052670,6108660
1985,20,609877,548944.65146769,0,0.196696,2523150,3127100,3013240
1986,20,600246,564716.682445751,0,0.184274,2607790,3336140,3118220
1987,20,654429,542129.079493462,0,0.20161,2637990,3231510,4672690
1988,20,677317,562788.938514562,0,0.21851,2618620,3309500,3171950
1989,20,582714,546984.502634963,0,0.186851,2488220,3224750,3934290
1990,20,624046,555747.201389138,0,0.202885,2640460,3279870,2876700
1991,20,674986,549212.001098513,0,0.240485,2752910,3357010,3398790
1992,20,758475,523895.832426368,0,0.277803,2701890,3198580,4221510
1993,20,823385,521436.005308125,0,0.320611,2581110,3153570,4526020
1994,20,817922,517470.791288662,0,0.344267,2516520,3109760,3915960
1995,20,755210,523142.550036,0,0.326588,2538180,3142080,3365180
1996,20,561267,500602.103372887,0,0.244928,2426950,2952780,3479750
1997,20,570291,499320.187505325,0,0.237454,2442780,2951170,2907090
1998,20,662343,474479.382809325,0,0.271058,2441060,2867130,2946840
1999,20,636297,461461.316790413,0,0.280668,2385900,2802220,3319420
2000,20,736472,434193.63110775,0,0.332669,2250710,2659050,1978210
2001,20,735748,387762.715237238,0,0.371428,2096890,2442200,3964430
2002,20,770238,363487.85579445,0,0.447332,1798840,2182290,5369230
2003,20,678030,407309.81217588,0,0.429759,1754690,2326450,3526370
2004,20,684412,434021.352752456,0,0.469797,2051850,2512370,4838220
2005,20,549854,466624.404185044,0,0.342696,1975310,2551340,7768810
2006,20,478373,594321.401864385,0,0.279557,2203630,3096250,8887690
2007,20,588318,737095.265994622,0,0.314318,2674100,3912710,8156650
2008,20,622041,831119.244417037,0,0.289893,3185670,4520700,7630300
2009,20,738620,895000.337981929,0,0.269774,3748710,4976660,7272140
2010,20,877019,924054.386232941,0,0.253725,4199120,5179320,10941000
2011,20,947366,1101601.07815283,0,0.236178,4870040,6096790,10225900
2012,20,895262,1173036.42542932,0,0.206422,5049370,6537090,5919060
2013,20,933733,1102171.15603976,0,0.20353,5385480,6419830,4635800
2014,20,1395450,1018353.59762801,0,0.25551,5436580,6169030,7017270
2015,20,1215560,1027750.26312795,0,0.238574,5449210,6148420,2690600
2016,20,1096450,959137.4991432,0,0.226499,5255170,5912910,8132610
2017,20,1155500,907437.394325775,0,0.245115,4578900,5354940,4868670
2018,20,1025910,916561.563150862,0,0.234736,4368590,5494290,5853330
2019,20,840182,886309.785322238,0,0.196276,4207010,5209220,4217490
1974,21,266013,30091.8623934323,104334.293783551,0.715947,227630,271876,9882040
1975,21,253937,19793.8938327293,56360.3205955168,1.25367,157296,201612,4123200
1976,21,159255,10695.6361092033,30815.779432794,0.810644,81942,100128,2249420
1977,21,39314.4,8669.67222525225,23857.5593806338,0.215043,56246.2,66730.6,1445240
1978,21,0,10480.801292712,25855.2617540663,0,66374.1,77176.4,1098910
1979,21,0,14655.6715521225,41276.4166164535,0,92167,103606,4128070
1980,21,73449.9,25681.2635811275,118749.532550199,0.122392,119680,149601,16553900
1981,21,208745,43700.14176683,219942.993323172,0.175727,183227,275112,21849200
1982,21,277070,74530.1963536725,332552.380788221,0.143621,328312,462103,32655900
1983,21,430216,111354.172525605,377020.824792471,0.321877,589420,793529,28225700
1984,21,460933,138011.079944275,385479.330552964,0.516045,884422,1091890,31969600
1985,21,659339,142344.297809885,445152.994812515,0.572796,929186,1159310,47582700
1986,21,752731,155116.113078347,511470.73727489,0.471018,884471,1149520,56000900
1987,21,1008730,185907.089868775,529045.225482798,0.437324,1008400,1341040,44392000
1988,21,1140870,199873.074077428,465037.142479227,0.442048,1353310,1647130,23912300
1989,21,910318,188777.71355962,364932.244782837,0.377201,1380460,1586390,21866400
1990,21,739056,176370.949315973,328472.737881987,0.368855,1407140,1529170,20756000
1991,21,685045,158663.02214875,291078.622104578,0.389082,1243800,1363960,22474300
1992,21,764432,141842.254235085,304601.568494654,0.530557,1009210,1222410,32195800
1993,21,687902,124965.899424875,317117.934786354,0.716807,717535,1062140,32975500
1994,21,597208,116069.898443105,277426.85619139,0.684732,716398,952374,25064500
1995,21,595417,105897.921380005,309088.370965006,0.798475,683832,914852,27104200
1996,21,274372,105598.47328875,290598.934779989,0.324706,591862,787300,26684100
1997,21,264056,129912.14196139,295305.839016479,0.287886,707055,949574,17476500
1998,21,380193,147765.185497142,296325.382187869,0.436468,961661,1226800,13421400
1999,21,369622,151741.719716595,368455.891170984,0.330357,1023450,1205260,38766400
2000,21,421779,181880.14623244,376116.58916206,0.334219,1053260,1331330,24881500
2001,21,363691,227963.155822503,659009.993488269,0.26663,1360300,1661270,68422400
2002,21,390438,293134.35723905,744439.573780112,0.236617,1692990,2111860,27807700
2003,21,487432,337438.244118675,686638.885449265,0.247682,1929070,2756360,18833300
2004,21,589576,310512.259282625,735335.60144782,0.261341,2135450,2772790,21462000
2005,21,665396,249743.1920099,524270.844608446,0.342601,2097040,2306270,14389900
2006,21,513247,191836.050093125,434808.427371055,0.2755,1537830,1728410,17333000
2007,21,406368,158929.364095025,415896.059871454,0.240047,1200520,1363430,22394600
2008,21,258713,150984.227525425,393429.167086029,0.167716,1076170,1210010,20124800
2009,21,168589,172157.96386355,387296.678229666,0.0987535,1211770,1336300,21738700
2010,21,186255,211272.3020421,418982.648504548,0.113912,1278210,1612030,22566400
2011,21,224049,245541.23041075,482270.361281321,0.10267,1697730,1933970,20521200
2012,21,434509,249586.289175925,475353.389337063,0.193382,1994140,2115480,19629600
2013,21,511220,234204.92547365,474528.103329302,0.222604,1817510,1967800,32084300
2014,21,518042,231778.54433985,548539.870214099,0.214664,1639770,1836970,36158400
2015,21,494949,248117.62814135,448381.907570391,0.23993,1563740,1947080,9980770
