rectangle,quarter,Temp
31F1,1,6.05
31F2,1,6.72
31F3,1,6.12
32F1,1,6.50
32F2,1,6.37
32F3,1,6.21
33F1,1,5.71
33F2,1,5.91
33F3,1,6.20
33F4,1,5.46
34F1,1,5.06
34F2,1,5.65
34F3,1,6.00
34F4,1,5.50
35F0,1,3.65
35F1,1,5.28
35F2,1,5.50
35F3,1,4.95
35F4,1,5.48
36F0,1,5.64
36F1,1,5.35
36F2,1,5.30
36F3,1,5.31
36F4,1,5.43
36F5,1,5.28
36F6,1,4.43
36F7,1,3.94
36F8,1,3.57
37E9,1,3.13
37F0,1,6.07
37F1,1,5.35
37F2,1,5.30
37F3,1,5.25
37F4,1,5.46
37F5,1,5.36
37F6,1,4.85
37F7,1,4.09
37F8,1,3.58
38E8,1,5.71
38E9,1,5.81
38F0,1,6.23
38F1,1,6.14
38F2,1,5.54
38F3,1,5.38
38F4,1,5.38
38F5,1,5.10
38F6,1,5.10
38F7,1,4.40
38F8,1,3.45
39E8,1,5.84
39E9,1,6.00
39F0,1,6.38
39F1,1,6.46
39F2,1,6.18
39F3,1,5.96
39F4,1,5.33
39F5,1,5.14
39F6,1,5.01
39F7,1,4.31
39F8,1,3.37
40E8,1,5.99
40E9,1,6.37
40F0,1,6.59
40F1,1,6.55
40F2,1,6.30
40F3,1,6.13
40F4,1,5.90
40F5,1,5.27
40F6,1,5.04
40F7,1,4.42
41E7,1,5.35
41E8,1,6.19
41E9,1,6.57
41F0,1,6.77
41F1,1,6.77
41F2,1,6.62
41F3,1,6.30
41F4,1,6.01
41F5,1,5.73
41F6,1,5.45
41F7,1,4.94
41G0,1,4.04
41G1,1,7.26
42E7,1,5.73
42E8,1,5.99
42E9,1,6.78
42F0,1,6.90
42F1,1,6.90
42F2,1,6.77
42F3,1,6.53
42F4,1,5.94
42F5,1,5.73
42F6,1,5.55
42F7,1,5.22
42F8,1,4.83
42G0,1,3.94
42G1,1,9.59
43E8,1,6.52
43E9,1,6.71
43F0,1,6.97
43F1,1,7.07
43F2,1,6.76
43F3,1,6.57
43F4,1,6.26
43F5,1,7.30
43F6,1,6.85
43F7,1,6.74
43F8,1,6.76
43F9,1,6.78
43G0,1,7.11
43G1,1,8.39
44E6,1,5.60
44E7,1,6.00
44E8,1,6.52
44E9,1,6.80
44F0,1,7.02
44F1,1,7.07
44F2,1,6.90
44F3,1,6.53
44F4,1,7.57
44F5,1,6.81
44F6,1,6.84
44F7,1,6.75
44F8,1,6.76
44F9,1,6.77
44G0,1,7.00
44G1,1,8.45
45E6,1,6.09
45E7,1,6.73
45E8,1,6.92
45E9,1,6.92
45F0,1,7.06
45F1,1,7.09
45F2,1,7.03
45F3,1,6.73
45F4,1,6.59
45F5,1,6.72
45F6,1,6.76
45F8,1,6.77
45F9,1,6.83
45G0,1,6.85
45G1,1,8.45
46E6,1,7.39
46E7,1,6.96
46E8,1,7.03
46E9,1,7.05
46F0,1,7.07
46F1,1,7.07
46F2,1,7.05
46F3,1,6.66
46F4,1,6.65
46F5,1,7.35
46F9,1,6.65
46G0,1,6.65
46G1,1,9.97
47E6,1,7.82
47E7,1,7.36
47E8,1,7.18
47E9,1,7.05
47F0,1,7.07
47F1,1,7.06
47F2,1,7.19
47F3,1,6.62
47F4,1,6.68
47F5,1,7.45
48E6,1,1.04
48E7,1,8.38
48E8,1,7.21
48E9,1,7.14
48F0,1,7.09
48F1,1,7.10
48F2,1,7.30
48F3,1,7.02
48F4,1,6.89
48F5,1,7.41
49E6,1,1.33
49E7,1,1.03
49E8,1,8.13
49E9,1,7.21
49F0,1,7.02
49F1,1,7.11
49F2,1,7.29
49F3,1,7.17
49F4,1,7.00
49F5,1,7.43
50E6,1,2.03
50E7,1,1.35
50E8,1,2.05
50E9,1,1.86
50F0,1,1.06
50F1,1,1.83
50F2,1,7.02
50F3,1,7.25
50F4,1,7.14
50F5,1,7.51
51E6,1,2.65
51E7,1,2.17
51E8,1,4.18
51E9,1,0.41
51F0,1,0.43
51F1,1,3.14
51F2,1,6.95
51F3,1,7.28
51F4,1,7.22
51F5,1,7.61
52E6,1,2.81
52E7,1,2.50
52E8,1,4.68
52E9,1,0.41
52F0,1,0.58
52F1,1,3.71
52F2,1,6.87
52F3,1,7.28
52F4,1,7.23
52F5,1,7.62
31F1,2,5.07
31F2,2,10.44
31F3,2,10.48
32F1,2,10.36
32F2,2,10.23
32F3,2,10.08
33F1,2,10.17
33F2,2,9.94
33F3,2,9.98
33F4,2,10.20
34F1,2,9.66
34F2,2,9.78
34F3,2,9.74
34F4,2,10.07
35F0,2,2.31
35F1,2,9.10
35F2,2,9.45
35F3,2,4.18
35F4,2,8.80
36F0,2,8.85
36F1,2,7.86
36F2,2,7.72
36F3,2,7.04
36F4,2,7.89
36F5,2,8.23
36F6,2,8.51
36F7,2,8.57
36F8,2,9.24
37E9,2,10.85
37F0,2,7.95
37F1,2,7.86
37F2,2,7.72
37F3,2,7.13
37F4,2,7.47
37F5,2,7.30
37F6,2,7.59
37F7,2,8.09
37F8,2,9.69
38E8,2,6.71
38E9,2,6.87
38F0,2,7.31
38F1,2,7.76
38F2,2,8.80
38F3,2,7.15
38F4,2,7.11
38F5,2,6.73
38F6,2,6.73
38F7,2,7.53
38F8,2,9.90
39E8,2,6.70
39E9,2,6.76
39F0,2,6.97
39F1,2,6.69
39F2,2,6.54
39F3,2,6.68
39F4,2,6.88
39F5,2,6.46
39F6,2,6.33
39F7,2,7.78
39F8,2,9.84
40E8,2,6.72
40E9,2,6.74
40F0,2,6.73
40F1,2,6.62
40F2,2,6.48
40F3,2,6.46
40F4,2,6.39
40F5,2,6.44
40F6,2,6.41
40F7,2,7.37
41E7,2,6.75
41E8,2,7.01
41E9,2,6.87
41F0,2,6.72
41F1,2,6.55
41F2,2,6.45
41F3,2,6.37
41F4,2,6.32
41F5,2,6.22
41F6,2,6.36
41F7,2,7.50
41G0,2,6.98
41G1,2,6.46
42E7,2,7.36
42E8,2,7.34
42E9,2,7.01
42F0,2,6.92
42F1,2,6.63
42F2,2,6.57
42F3,2,6.57
42F4,2,6.33
42F5,2,6.22
42F6,2,6.35
42F7,2,7.25
42F8,2,8.73
42G0,2,8.99
42G1,2,7.09
43E8,2,7.37
43E9,2,7.27
43F0,2,7.05
43F1,2,6.86
43F2,2,6.63
43F3,2,6.68
43F4,2,6.44
43F5,2,6.20
43F6,2,6.54
43F7,2,6.77
43F8,2,6.78
43F9,2,6.78
43G0,2,7.64
43G1,2,6.31
44E6,2,4.95
44E7,2,6.94
44E8,2,7.37
44E9,2,7.24
44F0,2,6.96
44F1,2,6.82
44F2,2,6.70
44F3,2,6.71
44F4,2,6.43
44F5,2,6.55
44F6,2,6.67
44F7,2,6.79
44F8,2,6.82
44F9,2,6.84
44G0,2,6.93
44G1,2,7.82
45E6,2,5.47
45E7,2,7.85
45E8,2,7.63
45E9,2,7.26
45F0,2,6.86
45F1,2,6.75
45F2,2,6.76
45F3,2,6.69
45F4,2,6.64
45F5,2,6.69
45F6,2,6.73
45F8,2,6.86
45F9,2,6.82
45G0,2,6.66
45G1,2,7.82
46E6,2,8.37
46E7,2,8.13
46E8,2,7.81
46E9,2,7.03
46F0,2,6.82
46F1,2,6.77
46F2,2,6.78
46F3,2,6.71
46F4,2,6.69
46F5,2,6.45
46F9,2,6.57
46G0,2,6.57
46G1,2,7.32
47E6,2,7.88
47E7,2,8.32
47E8,2,7.79
47E9,2,7.03
47F0,2,6.93
47F1,2,6.86
47F2,2,6.85
47F3,2,6.74
47F4,2,6.72
47F5,2,6.65
48E6,2,1.26
48E7,2,8.57
48E8,2,7.72
48E9,2,7.47
48F0,2,7.11
48F1,2,6.95
48F2,2,6.91
48F3,2,6.84
48F4,2,6.80
48F5,2,6.04
49E6,2,1.87
49E7,2,1.38
49E8,2,8.47
49E9,2,7.58
49F0,2,7.20
49F1,2,6.92
49F2,2,6.92
49F3,2,6.74
49F4,2,6.82
49F5,2,6.04
50E6,2,2.28
50E7,2,1.73
50E8,2,2.86
50E9,2,3.95
50F0,2,3.26
50F1,2,3.94
50F2,2,6.53
50F3,2,6.70
50F4,2,6.82
50F5,2,5.98
51E6,2,2.68
51E7,2,2.77
51E8,2,3.65
51E9,2,-0.10
51F0,2,2.48
51F1,2,4.41
51F2,2,6.63
51F3,2,6.76
51F4,2,6.85
51F5,2,5.93
52E6,2,2.79
52E7,2,3.19
52E8,2,3.78
52E9,2,-0.10
52F0,2,2.54
52F1,2,4.63
52F2,2,6.61
52F3,2,6.76
52F4,2,6.86
52F5,2,5.93
31F1,3,5.09
31F2,3,16.80
31F3,3,17.09
32F1,3,16.76
32F2,3,16.67
32F3,3,16.74
33F1,3,16.67
33F2,3,16.55
33F3,3,16.65
33F4,3,17.28
34F1,3,16.13
34F2,3,16.51
34F3,3,16.57
34F4,3,16.87
35F0,3,2.34
35F1,3,15.34
35F2,3,16.22
35F3,3,4.22
35F4,3,15.71
36F0,3,14.41
36F1,3,13.19
36F2,3,13.05
36F3,3,11.73
36F4,3,14.01
36F5,3,14.46
36F6,3,15.47
36F7,3,15.88
36F8,3,16.73
37E9,3,17.90
37F0,3,11.28
37F1,3,13.19
37F2,3,13.05
37F3,3,12.54
37F4,3,13.10
37F5,3,12.59
37F6,3,13.61
37F7,3,15.39
37F8,3,17.19
38E8,3,8.49
38E9,3,8.83
38F0,3,9.71
38F1,3,10.91
38F2,3,14.29
38F3,3,11.86
38F4,3,11.65
38F5,3,10.79
38F6,3,10.79
38F7,3,13.72
38F8,3,17.14
39E8,3,8.46
39E9,3,8.55
39F0,3,8.81
39F1,3,8.01
39F2,3,7.87
39F3,3,8.23
39F4,3,10.48
39F5,3,10.02
39F6,3,10.04
39F7,3,13.87
39F8,3,16.82
40E8,3,8.38
40E9,3,8.20
40F0,3,8.07
40F1,3,7.82
40F2,3,7.71
40F3,3,7.81
40F4,3,8.14
40F5,3,9.51
40F6,3,10.06
40F7,3,12.98
41E7,3,8.17
41E8,3,8.46
41E9,3,8.14
41F0,3,7.77
41F1,3,7.48
41F2,3,7.39
41F3,3,7.63
41F4,3,7.94
41F5,3,8.07
41F6,3,8.70
41F7,3,12.83
41G0,3,13.77
41G1,3,7.23
42E7,3,9.14
42E8,3,9.11
42E9,3,8.23
42F0,3,7.91
42F1,3,7.38
42F2,3,7.27
42F3,3,7.45
42F4,3,7.87
42F5,3,8.07
42F6,3,8.60
42F7,3,11.82
42F8,3,15.32
42G0,3,16.37
42G1,3,6.48
43E8,3,9.39
43E9,3,9.06
43F0,3,8.33
43F1,3,7.66
43F2,3,7.22
43F3,3,7.36
43F4,3,7.39
43F5,3,7.22
43F6,3,6.64
43F7,3,6.74
43F8,3,6.74
43F9,3,7.35
43G0,3,8.53
43G1,3,6.87
44E6,3,4.95
44E7,3,9.12
44E8,3,9.39
44E9,3,8.96
44F0,3,8.09
44F1,3,7.54
44F2,3,7.22
44F3,3,7.34
44F4,3,6.94
44F5,3,6.64
44F6,3,6.62
44F7,3,6.73
44F8,3,6.68
44F9,3,6.65
44G0,3,6.62
44G1,3,7.54
45E6,3,5.47
45E7,3,10.51
45E8,3,9.72
45E9,3,8.96
45F0,3,7.85
45F1,3,7.36
45F2,3,7.36
45F3,3,7.05
45F4,3,6.49
45F5,3,6.53
45F6,3,6.60
45F8,3,6.58
45F9,3,6.56
45G0,3,6.65
45G1,3,7.54
46E6,3,11.44
46E7,3,10.92
46E8,3,9.96
46E9,3,8.27
46F0,3,7.76
46F1,3,7.49
46F2,3,7.42
46F3,3,7.01
46F4,3,6.65
46F5,3,6.20
46F9,3,6.74
46G0,3,6.74
46G1,3,7.13
47E6,3,10.54
47E7,3,10.84
47E8,3,9.70
47E9,3,8.27
47F0,3,8.00
47F1,3,7.65
47F2,3,7.55
47F3,3,6.86
47F4,3,6.68
47F5,3,6.15
48E6,3,1.70
48E7,3,10.30
48E8,3,9.43
48E9,3,8.97
48F0,3,8.38
48F1,3,7.93
48F2,3,7.77
48F3,3,6.91
48F4,3,6.78
48F5,3,6.09
49E6,3,2.35
49E7,3,1.85
49E8,3,10.28
49E9,3,9.17
49F0,3,8.71
49F1,3,8.09
49F2,3,7.05
49F3,3,6.92
49F4,3,6.78
49F5,3,6.13
50E6,3,2.65
50E7,3,2.19
50E8,3,2.50
50E9,3,6.06
50F0,3,3.93
50F1,3,5.61
50F2,3,7.10
50F3,3,7.20
50F4,3,6.82
50F5,3,6.22
51E6,3,2.99
51E7,3,2.44
51E8,3,3.87
51E9,3,2.04
51F0,3,2.75
51F1,3,5.61
51F2,3,7.21
51F3,3,7.20
51F4,3,6.85
51F5,3,6.25
52E6,3,3.08
52E7,3,2.54
52E8,3,4.17
52E9,3,2.04
52F0,3,2.89
52F1,3,5.73
52F2,3,7.16
52F3,3,7.20
52F4,3,6.85
52F5,3,6.26
31F1,4,5.10
31F2,4,11.65
31F3,4,11.41
32F1,4,11.54
32F2,4,11.56
32F3,4,11.78
33F1,4,10.90
33F2,4,11.18
33F3,4,11.77
33F4,4,11.22
34F1,4,9.83
34F2,4,10.82
34F3,4,11.65
34F4,4,11.12
35F0,4,2.36
35F1,4,10.20
35F2,4,10.71
35F3,4,4.25
35F4,4,11.51
36F0,4,9.80
36F1,4,10.46
36F2,4,10.64
36F3,4,11.08
36F4,4,11.46
36F5,4,11.44
36F6,4,10.58
36F7,4,9.85
36F8,4,9.18
37E9,4,7.82
37F0,4,9.36
37F1,4,10.46
37F2,4,10.64
37F3,4,10.80
37F4,4,11.37
37F5,4,11.37
37F6,4,11.16
37F7,4,10.23
37F8,4,8.92
38E8,4,9.05
38E9,4,9.08
38F0,4,9.17
38F1,4,9.31
38F2,4,9.45
38F3,4,10.79
38F4,4,10.77
38F5,4,11.10
38F6,4,11.10
38F7,4,10.70
38F8,4,8.91
39E8,4,9.17
39E9,4,9.19
39F0,4,8.93
39F1,4,8.49
39F2,4,8.46
39F3,4,8.75
39F4,4,10.44
39F5,4,10.72
39F6,4,10.80
39F7,4,10.44
39F8,4,8.90
40E8,4,9.29
40E9,4,9.17
40F0,4,8.85
40F1,4,8.46
40F2,4,8.43
40F3,4,8.60
40F4,4,8.88
40F5,4,10.03
40F6,4,10.50
40F7,4,10.46
41E7,4,9.29
41E8,4,9.70
41E9,4,9.42
41F0,4,8.92
41F1,4,8.46
41F2,4,8.33
41F3,4,8.58
41F4,4,8.75
41F5,4,8.95
41F6,4,9.68
41F7,4,10.28
41G0,4,9.29
41G1,4,9.29
42E7,4,9.75
42E8,4,9.86
42E9,4,9.61
42F0,4,9.32
42F1,4,8.65
42F2,4,8.35
42F3,4,8.39
42F4,4,8.75
42F5,4,8.95
42F6,4,9.54
42F7,4,9.92
42F8,4,9.67
42G0,4,9.21
42G1,4,8.14
43E8,4,9.92
43E9,4,9.90
43F0,4,9.69
43F1,4,9.32
43F2,4,8.37
43F3,4,8.28
43F4,4,8.35
43F5,4,7.69
43F6,4,6.57
43F7,4,6.55
43F8,4,6.55
43F9,4,8.99
43G0,4,9.38
43G1,4,9.42
44E6,4,4.95
44E7,4,9.79
44E8,4,9.92
44E9,4,9.85
44F0,4,9.55
44F1,4,9.18
44F2,4,8.58
44F3,4,8.30
44F4,4,7.67
44F5,4,6.58
44F6,4,6.58
44F7,4,6.55
44F8,4,6.53
44F9,4,6.53
44G0,4,6.63
44G1,4,7.82
45E6,4,5.47
45E7,4,10.15
45E8,4,9.94
45E9,4,9.73
45F0,4,9.22
45F1,4,8.81
45F2,4,8.40
45F3,4,6.25
45F4,4,6.03
45F5,4,6.39
45F6,4,6.51
45F8,4,6.51
45F9,4,6.56
45G0,4,6.65
45G1,4,7.82
46E6,4,10.39
46E7,4,10.09
46E8,4,9.93
46E9,4,9.29
46F0,4,8.91
46F1,4,8.56
46F2,4,8.37
46F3,4,6.14
46F4,4,6.19
46F5,4,6.66
46F9,4,6.32
46G0,4,6.32
46G1,4,10.32
47E6,4,10.44
47E7,4,10.06
47E8,4,9.73
47E9,4,9.29
47F0,4,8.91
47F1,4,8.51
47F2,4,8.35
47F3,4,6.04
47F4,4,6.24
47F5,4,6.53
48E6,4,2.20
48E7,4,10.00
48E8,4,9.55
48E9,4,9.34
48F0,4,9.04
48F1,4,8.75
48F2,4,8.42
48F3,4,6.59
48F4,4,6.51
48F5,4,7.00
49E6,4,2.62
49E7,4,2.28
49E8,4,9.67
49E9,4,9.38
49F0,4,9.19
49F1,4,8.86
49F2,4,6.61
49F3,4,7.05
49F4,4,6.69
49F5,4,7.04
50E6,4,2.98
50E7,4,2.54
50E8,4,6.15
50E9,4,4.83
50F0,4,2.26
50F1,4,3.25
50F2,4,7.58
50F3,4,7.57
50F4,4,6.91
50F5,4,7.06
51E6,4,3.59
51E7,4,4.62
51E8,4,5.97
51E9,4,3.03
51F0,4,1.63
51F1,4,4.61
51F2,4,7.64
51F3,4,7.61
51F4,4,7.03
51F5,4,7.14
52E6,4,3.75
52E7,4,5.20
52E8,4,6.00
52E9,4,3.04
52F0,4,1.74
52F1,4,5.01
52F2,4,7.63
52F3,4,7.61
52F4,4,7.05
52F5,4,7.16
